u,g,r,i,z,Teff,FeH
19.44839,18.05101,17.53385,17.34435,17.26397,5476,-0.32
21.81623,19.91234,19.10395,18.85134,18.59145,4576,-0.39
18.30891,17.17433,16.81747,16.68911,16.64732,6000,-1
18.69099,17.509,16.97835,16.72907,16.62308,5000,0
19.14013,18.12137,17.81142,17.70382,17.65718,6000,-1.5
18.42685,17.44692,17.1624,17.04406,16.98875,6500,-1.5
20.64607,19.62866,19.23873,19.07969,18.99956,6000,-1.5
19.67206,18.24395,17.71602,17.51831,17.37658,5285,-0.71
19.09336,17.95736,17.50762,17.35088,17.25573,5665,-0.99
18.44062,17.10099,16.54119,16.32747,16.22194,5047,-1.34
20.41852,18.67162,18.04442,17.82761,17.69387,5169,-0.17
22.00746,19.25332,17.96785,17.41692,17.09507,3962,-0.36
20.40484,19.27827,18.84236,18.68185,18.69153,6000,-1.5
20.63176,19.55658,19.15943,18.92395,18.86047,5645,-1.51
21.29862,19.14685,18.28459,17.96222,17.85449,4955,-0.23
17.27215,16.10804,15.67583,15.50102,15.43411,5966,-0.72
24.45593,22.94798,22.01388,19.69589,18.41971,3717,-0.2
19.34693,18.04756,17.49198,17.25258,17.13416,5704,-0.74
16.99458,15.89485,15.5403,15.39632,15.37242,6000,-1
17.46596,16.37214,16.02768,15.90383,15.90213,6000,-1
21.65613,19.47689,18.40982,18.03019,17.80568,4382,-0.28
19.2604,18.83144,18.871,18.94983,19.03333,7652,0.06
18.67618,18.17216,18.32072,18.46478,18.81606,7652,0.06
18.95974,17.94345,17.58205,17.43977,17.39056,6000,-1.5
